iter	Passed	Remaining
0	37	11257
1	72	10770
2	107	10596
3	138	10250
4	164	9711
5	197	9689
6	227	9540
7	256	9370
8	285	9224
9	316	9184
10	348	9165
11	380	9126
12	411	9092
13	442	9032
14	472	8978
15	502	8925
16	535	8912
17	569	8917
18	599	8872
19	630	8827
20	666	8849
21	693	8758
22	721	8693
23	754	8681
24	789	8683
25	822	8672
26	859	8689
27	893	8681
28	923	8631
29	954	8593
30	981	8512
31	1011	8467
32	1041	8424
33	1071	8383
34	1101	8342
35	1132	8306
36	1162	8260
37	1196	8250
38	1225	8198
39	1253	8146
40	1280	8091
41	1310	8051
42	1339	8007
43	1370	7973
44	1408	7982
45	1442	7967
46	1474	7939
47	1508	7920
48	1549	7936
49	1587	7938
50	1622	7923
51	1660	7920
52	1703	7937
53	1732	7893
54	1764	7861
55	1797	7831
56	1824	7779
57	1856	7745
58	1887	7708
59	1916	7664
60	1944	7618
61	1975	7584
62	2002	7532
63	2032	7494
64	2060	7447
65	2090	7411
66	2123	7384
67	2156	7356
68	2185	7316
69	2213	7274
70	2242	7233
71	2270	7189
72	2300	7153
73	2329	7112
74	2361	7085
75	2388	7038
76	2423	7018
77	2454	6986
78	2483	6947
79	2511	6907
80	2540	6869
81	2568	6828
82	2605	6812
83	2637	6782
84	2668	6748
85	2700	6720
86	2734	6695
87	2765	6663
88	2795	6627
89	2828	6600
90	2863	6576
91	2893	6542
92	2928	6518
93	2957	6481
94	2986	6444
95	3017	6411
96	3048	6380
97	3081	6350
98	3111	6316
99	3142	6284
100	3172	6251
101	3201	6214
102	3228	6174
103	3261	6146
104	3293	6116
105	3320	6077
106	3348	6039
107	3379	6008
108	3409	5973
109	3435	5933
110	3468	5905
111	3504	5882
112	3534	5848
113	3565	5818
114	3593	5780
115	3625	5750
116	3664	5731
117	3692	5695
118	3720	5659
119	3752	5628
120	3782	5596
121	3810	5559
122	3843	5531
123	3874	5498
124	3905	5467
125	3941	5443
126	3973	5412
127	4003	5380
128	4036	5350
129	4065	5317
130	4096	5284
131	4126	5252
132	4158	5222
133	4185	5184
134	4214	5151
135	4245	5119
136	4280	5092
137	4308	5057
138	4335	5022
139	4375	5000
140	4409	4972
141	4438	4938
142	4479	4918
143	4515	4891
144	4550	4864
145	4583	4834
146	4613	4802
147	4653	4778
148	4698	4761
149	4730	4730
150	4760	4697
151	4794	4667
152	4822	4633
153	4850	4598
154	4881	4566
155	4918	4540
156	4950	4509
157	4987	4482
158	5020	4451
159	5055	4423
160	5089	4393
161	5120	4361
162	5153	4331
163	5189	4303
164	5218	4269
165	5246	4234
166	5275	4201
167	5306	4169
168	5345	4143
169	5382	4116
170	5422	4090
171	5465	4067
172	5501	4038
173	5539	4011
174	5585	3989
175	5627	3964
176	5668	3939
177	5705	3910
178	5743	3882
179	5781	3854
180	5818	3825
181	5853	3795
182	5888	3764
183	5919	3731
184	5956	3702
185	5995	3674
186	6024	3640
187	6057	3608
188	6091	3577
189	6117	3541
190	6152	3511
191	6182	3477
192	6215	3445
193	6242	3411
194	6274	3378
195	6303	3344
196	6328	3308
197	6359	3275
198	6400	3248
199	6429	3214
200	6460	3182
201	6491	3149
202	6522	3116
203	6550	3082
204	6583	3050
205	6613	3017
206	6642	2984
207	6671	2950
208	6702	2918
209	6734	2886
210	6770	2855
211	6806	2825
212	6837	2792
213	6873	2762
214	6908	2731
215	6939	2698
216	6974	2667
217	7009	2636
218	7045	2605
219	7072	2571
220	7100	2538
221	7130	2505
222	7157	2471
223	7188	2438
224	7218	2406
225	7246	2372
226	7278	2340
227	7308	2307
228	7339	2275
229	7371	2243
230	7402	2211
231	7432	2178
232	7465	2146
233	7492	2113
234	7522	2080
235	7555	2049
236	7585	2016
237	7615	1983
238	7646	1951
239	7673	1918
240	7706	1886
241	7738	1854
242	7767	1822
243	7804	1791
244	7838	1759
245	7869	1727
246	7899	1694
247	7929	1662
248	7958	1630
249	7987	1597
250	8015	1564
251	8053	1533
252	8082	1501
253	8115	1469
254	8147	1437
255	8174	1404
256	8204	1372
257	8238	1341
258	8266	1308
259	8304	1277
260	8338	1245
261	8369	1213
262	8405	1182
263	8441	1151
264	8469	1118
265	8500	1086
266	8530	1054
267	8561	1022
268	8594	990
269	8623	958
270	8655	926
271	8687	894
272	8715	861
273	8745	829
274	8777	797
275	8810	766
276	8847	734
277	8878	702
278	8912	670
279	8941	638
280	8971	606
281	9000	574
282	9030	542
283	9063	510
284	9096	478
285	9128	446
286	9155	414
287	9183	382
288	9214	350
289	9246	318
290	9281	287
291	9317	255
292	9353	223
293	9382	191
294	9412	159
295	9441	127
296	9470	95
297	9499	63
298	9528	31
299	9560	0
